GEO_ID,Total,Perc_two_or_more,Perc_white,Perc_black_afam,Perc_amindian_alnative,Perc_asian,Perc_hawaii_pi,Perc_other_race,PercU18
2000100,7080,1.0,25.0,59.9,0.4,1.8,0.0,12.0,2.4
2000200,4542,4.2,47.7,28.2,0.0,2.3,0.0,17.6,21.1
2000400,5634,3.7,46.6,30.2,0.5,4.0,0.0,15.0,20.0
2001600,5917,2.7,40.7,41.1,0.0,0.2,0.0,15.3,25.4
2001900,2765,6.1,21.2,37.6,0.0,3.4,0.0,31.7,27.4
2002000,9409,3.3,33.9,47.7,1.9,0.3,0.0,12.9,27.2
2002300,4600,1.9,10.4,46.1,1.5,0.0,0.0,40.1,24.0
2002400,172,8.1,40.1,51.7,0.0,0.0,0.0,0.0,23.8
2002500,5887,2.7,15.3,22.8,0.4,0.8,0.3,57.6,28.0
2002701,2868,1.2,8.5,34.4,0.0,0.0,0.0,55.9,35.6
2002702,4702,4.1,10.2,44.0,1.7,0.0,0.0,39.9,33.0
2002800,5269,5.7,12.8,69.7,0.0,0.6,0.0,11.2,17.7
2003100,1703,5.3,21.6,29.9,0.0,2.1,0.0,41.2,24.1
2003300,3534,3.3,12.9,34.4,2.6,0.0,0.0,46.8,33.8
2003500,3900,2.4,14.0,36.5,2.1,0.0,0.0,45.0,31.8
2003700,269,0.0,34.2,27.9,0.0,0.0,0.0,37.9,5.2
2003800,1434,0.0,55.4,34.5,0.4,0.5,0.0,9.2,23.7
2003900,6742,0.0,14.3,20.5,0.7,0.0,0.0,64.5,27.5
2004001,1485,2.6,30.3,11.0,0.0,11.8,0.0,44.4,21.3
2004100,5517,4.7,13.0,25.1,0.0,0.7,0.0,56.5,29.6
2004200,7207,2.8,31.9,50.2,0.0,1.2,0.0,13.9,29.7
2004300,6088,4.9,14.8,31.6,0.6,0.7,0.0,47.4,28.7
2004400,4607,3.5,12.3,42.7,0.5,2.2,0.0,38.9,28.6
2004600,1817,6.2,45.0,36.0,0.0,0.0,0.0,12.8,28.1
2004800,4680,8.4,10.3,24.1,3.2,0.0,0.0,53.9,24.5
2005001,4979,3.4,10.4,25.7,1.3,1.0,0.0,58.3,29.0
2005002,5519,3.5,12.3,22.0,0.7,1.3,0.0,60.1,30.2
2005100,5588,3.6,9.8,33.9,0.0,0.5,0.0,52.1,33.1
2005200,2091,4.6,14.9,24.2,1.7,0.4,0.0,54.2,29.7
2005300,4483,3.3,9.2,58.8,1.6,0.2,0.0,26.9,39.9
2005400,6003,2.1,13.0,26.8,7.0,1.3,0.0,49.8,26.3
2005600,2384,1.6,12.1,29.9,1.3,0.5,0.0,54.5,26.8
2005902,2532,3.6,20.3,26.7,0.0,1.5,0.0,48.0,22.6
2006000,1451,1.4,25.3,21.4,0.0,3.0,0.0,49.0,21.6
2006100,3697,3.1,6.9,74.8,0.0,0.5,0.0,14.7,8.1
2006200,7184,1.8,12.3,38.3,0.9,2.7,0.0,44.0,31.2
2006300,4497,4.7,22.0,29.5,0.5,1.4,0.0,41.8,24.9
2006400,3612,4.3,12.7,39.3,0.0,2.8,0.0,40.8,25.7
2006500,5312,4.6,18.2,34.7,0.0,1.9,0.0,40.5,29.4
2006700,7256,2.7,6.5,31.3,0.0,0.0,1.3,58.2,29.3
2006800,3294,4.6,8.0,28.1,1.3,10.6,0.0,47.5,28.7
2006900,8090,3.5,13.3,41.0,0.5,0.5,0.0,41.3,30.3
2007000,4584,4.1,22.1,25.4,0.0,12.5,0.0,36.0,24.1
2007100,2722,3.8,12.5,39.3,0.4,2.4,0.0,41.6,26.2
2007200,5891,9.7,15.3,12.6,1.4,32.1,0.0,28.9,24.5
2007300,4314,1.8,17.3,26.5,0.0,0.0,2.4,52.1,32.8
2007400,3314,3.4,43.9,32.8,0.0,0.0,0.0,19.8,20.4
2007500,6112,3.6,11.9,45.2,2.3,0.7,0.0,36.3,30.8
2007600,5458,1.3,20.5,24.1,0.2,6.1,0.0,47.7,25.1
2007700,2022,2.0,15.5,36.7,1.9,0.7,0.0,43.1,28.0
2007800,7025,2.1,22.1,27.4,0.0,9.1,0.0,39.3,26.6
2007900,7054,1.7,9.0,33.5,0.0,0.0,0.8,55.1,32.9
2008300,6519,4.0,13.1,25.1,0.4,5.6,0.0,51.8,27.1
2008400,2780,3.4,31.2,33.9,3.5,8.3,0.0,19.6,24.9
2008500,5972,2.7,8.8,31.0,0.8,0.1,0.0,56.6,27.7
2008600,3982,3.8,40.5,39.1,0.0,0.5,0.0,16.1,26.0
2008700,6150,1.8,10.6,30.4,1.1,0.4,0.0,55.7,24.7
2008900,3200,3.6,9.6,26.3,1.5,0.1,0.0,58.9,29.8
2009000,3620,1.8,42.1,30.6,0.7,1.5,0.0,23.3,26.3
2009200,6091,8.3,19.9,20.1,0.0,17.9,0.0,33.8,24.7
2009300,6104,1.6,10.3,37.3,0.2,0.0,0.0,50.7,24.2
2009600,2683,3.0,22.2,25.1,0.7,19.8,0.0,29.3,22.3
2009800,4824,2.2,43.1,29.6,0.0,4.9,0.0,20.2,21.3
2011000,0,,,,,,,,
2011502,4437,5.2,7.4,42.8,0.0,0.2,1.0,43.5,35.7
2011700,1586,4.5,10.3,38.3,1.5,0.0,0.0,45.3,29.6
2011800,5400,3.7,73.1,5.4,0.0,5.4,0.1,12.2,14.0
2011900,5557,3.6,12.6,29.2,0.7,0.6,0.0,53.3,28.2
2012101,2906,5.3,14.9,33.1,0.2,1.0,0.0,45.6,26.8
2012102,1509,4.9,16.0,19.1,0.0,0.0,0.0,60.0,23.5
2012300,4095,4.9,7.5,34.5,0.1,0.9,0.0,52.1,24.9
