FIPS,Socioeconomic,HouseholdCompDisab,MinorityLang,HousingTransp,Total
2000100,-999.0,-999.0,0.8008,-999.0,-999.0
2000200,0.8981,0.9857,0.9392,0.4577,0.9201
2000400,0.5524,0.583,0.8093,0.27,0.5707
2001600,0.8249,0.9391,0.8666,0.9291,0.9452
2001900,0.9231,0.7489,0.8258,0.9378,0.9434
2002000,0.9855,0.9106,0.9085,0.6189,0.9421
2002300,0.9938,0.9736,0.9707,0.8492,0.988
2002400,0.0008,0.3106,0.3198,0.3674,0.0981
2002500,0.9540000000000001,0.9182,0.9839,0.765,0.9591
2002701,0.9525,0.9537,0.9821,0.7669,0.9649
2002702,0.9791,0.9471,0.9701,0.9805,0.9959
2002800,0.4838,0.9091,0.7951,0.6196,0.7589
2003100,0.7918,0.4,0.9718,0.7453,0.8334
2003300,0.9979,0.9271,0.9301,0.7259,0.9639
2003500,0.9704,0.8499,0.9604,0.9211,0.9768
2003700,0.9511,0.1483,0.8089,0.3311,0.7145
2003800,0.8811,0.684,0.9235,0.5228,0.8544
2003900,0.9507,0.8017,0.9625,0.9354,0.9693
2004001,0.8378,0.7559,0.8773,0.4349,0.8239
2004100,0.9927,0.8938,0.9538,0.9235,0.9867
2004200,0.8983,0.9849,0.8231,0.4956,0.9124
2004300,0.9896,0.9277,0.9911,0.9161,0.9905
2004400,0.9946,0.9913,0.8788,0.9985,1.0
2004600,0.9264,0.9777,0.8454,0.9024,0.9714
2004800,0.9646,0.5417,0.9887,0.88,0.9417
2005001,0.9876,0.9496,0.9866,0.9654,0.9954
2005002,0.9849,0.8672,0.9903,0.9693,0.9917
2005100,0.9832,0.9771,0.9713,0.9252,0.9929
2005200,0.7143,0.9688,0.9882,0.7335,0.9095
2005300,0.9985,0.937,0.9105,0.7611,0.968
2005400,0.9364,0.8158,0.9901,0.815,0.9467
2005600,0.9782,0.9971,0.9895,0.6525,0.9793
2005902,0.7402,0.8982,0.9311,0.6689,0.8747
2006000,0.9604,0.7024,0.9670000000000001,0.6635,0.9191
2006100,0.5713,0.5537,0.8056,0.4959,0.6589
2006200,0.988,0.9465,0.9633,0.9849,0.9979
2006300,0.8537,0.8837,0.9212,0.9142,0.9454
2006400,0.8388,0.9934,0.9388,0.5197,0.9178
2006500,0.9666,0.8674,0.9377,0.9664,0.9851
2006700,0.9403,0.9265,0.9957,0.8659,0.9741
2006800,0.8769,0.9246,0.941,0.5441,0.9081
2006900,0.8813,0.9333,0.9435,0.9198,0.9647
2007000,0.8353,0.8181,0.9728,0.8527,0.927
2007100,0.857,0.7575,0.9239,0.9018,0.9293
2007200,0.9289,0.6547,0.9278,0.6761,0.8965
2007300,0.9944,0.8003,0.9829,0.9505,0.9855
2007400,0.8127,0.8755,0.8202,0.3765,0.821
2007500,0.9335,0.9711,0.9064,0.8608,0.9689
2007600,0.9569,0.7625,0.9621,0.6191,0.9199
2007700,0.9606,0.8848,0.9637,0.9134,0.9772
2007800,0.9051,0.8639,0.9771,0.8009,0.9425
2007900,0.9859,0.9612,0.9940000000000001,0.9472,0.9942
2008300,0.9747,0.8389,0.9798,0.8574,0.9664
2008400,0.5839,0.7451,0.8588,0.1332,0.5737
2008500,0.9644,0.8399,0.9751,0.9683,0.9849
2008600,0.9144,0.9796,0.9520000000000001,0.7022,0.9492
2008700,0.9805,0.7392,0.9718,0.9511,0.9759
2008900,0.9283,0.975,0.9831,0.8301,0.9728
2009000,0.9259999999999999,0.9643,0.8814,0.855,0.9602
2009200,0.8925,0.7363,0.9025,0.6471,0.8869
2009300,0.9438,0.6921,0.9804,0.9708,0.9697
2009600,0.9233,0.9948,0.9027,0.9917,0.9977
2009800,0.6581,0.6324,0.8235,0.9101,0.8467
2011000,-999.0,-999.0,-999.0,-999.0,-999.0
2011502,0.9722,0.8102,0.9784,0.97,0.9844
2011700,0.9826,0.7138,0.961,0.9758,0.9801
2011800,0.4432,0.1751,0.4414,0.5008,0.3902
2011900,0.9793,0.8459,0.9656,0.9055,0.9751
2012101,0.892,0.5907,0.9454,0.9942,0.9683
2012102,0.9923,0.8145,0.9295,0.5334,0.9228
2012300,0.7719,0.8645,0.9559,0.9925,0.9674
2012500,0.9422,0.8651,0.9513,0.7634,0.9432
2012701,0.763,0.8656,0.9474,0.9039,0.9253
2012901,0.9467,0.9606,0.9449,0.9412,0.9865
2013000,0.4536,0.4924,0.6033,0.0294,0.2747
2013100,0.9486,0.8928,0.9276,0.914,0.9724
2013200,0.2269,0.5622,0.586,0.3029,0.3504
2013300,0.9401,0.8839,0.966,0.9832,0.9894
2013500,0.9322,0.9707,0.9497,0.7099,0.9504
2013800,0.5387,0.8571,0.6396,0.5029,0.6944
2014100,0.9001,0.8777,0.9503,0.9681,0.9734
