boro_ct2010,geo_name,snap_perc,house_num,snap_num
2000100,"Census Tract 1, Bronx County, New York",0,0,0
2000200,"Census Tract 2, Bronx County, New York",20.7,1328,275
2000400,"Census Tract 4, Bronx County, New York",13.5,1963,265
2001600,"Census Tract 16, Bronx County, New York",32.7,1982,649
2001900,"Census Tract 19, Bronx County, New York",28.1,929,261
2002000,"Census Tract 20, Bronx County, New York",46,3151,1451
2002300,"Census Tract 23, Bronx County, New York",66.7,2000,1333
2002400,"Census Tract 24, Bronx County, New York",11.6,43,5
2002500,"Census Tract 25, Bronx County, New York",54.2,1947,1055
2002701,"Census Tract 27.01, Bronx County, New York",60.4,1061,641
2002702,"Census Tract 27.02, Bronx County, New York",55.6,1484,825
2002800,"Census Tract 28, Bronx County, New York",14.2,2309,328
2003100,"Census Tract 31, Bronx County, New York",23.3,597,139
2003300,"Census Tract 33, Bronx County, New York",62.2,1198,745
2003500,"Census Tract 35, Bronx County, New York",43.2,1293,559
2003700,"Census Tract 37, Bronx County, New York",54.7,148,81
2003800,"Census Tract 38, Bronx County, New York",24.6,411,101
2003900,"Census Tract 39, Bronx County, New York",48.4,2047,991
2004001,"Census Tract 40.01, Bronx County, New York",22.3,484,108
2004100,"Census Tract 41, Bronx County, New York",53.8,2056,1107
2004200,"Census Tract 42, Bronx County, New York",34.1,2736,932
2004300,"Census Tract 43, Bronx County, New York",54.6,2111,1152
2004400,"Census Tract 44, Bronx County, New York",54.7,1641,898
2004600,"Census Tract 46, Bronx County, New York",46.3,706,327
2004800,"Census Tract 48, Bronx County, New York",43.6,1407,614
2005001,"Census Tract 50.01, Bronx County, New York",43.3,1565,678
2005002,"Census Tract 50.02, Bronx County, New York",51.8,1871,970
2005100,"Census Tract 51, Bronx County, New York",59.6,2083,1241
2005200,"Census Tract 52, Bronx County, New York",55,834,459
2005300,"Census Tract 53, Bronx County, New York",68.5,1591,1090
2005400,"Census Tract 54, Bronx County, New York",36.6,1782,652
2005600,"Census Tract 56, Bronx County, New York",49,872,427
2005902,"Census Tract 59.02, Bronx County, New York",34.9,1017,355
2006000,"Census Tract 60, Bronx County, New York",37.9,385,146
2006100,"Census Tract 61, Bronx County, New York",12.6,2143,270
2006200,"Census Tract 62, Bronx County, New York",48.2,2362,1139
2006300,"Census Tract 63, Bronx County, New York",31.9,1891,603
2006400,"Census Tract 64, Bronx County, New York",27.7,1337,370
2006500,"Census Tract 65, Bronx County, New York",43,1948,837
2006700,"Census Tract 67, Bronx County, New York",58.2,2336,1360
2006800,"Census Tract 68, Bronx County, New York",23.1,1016,235
2006900,"Census Tract 69, Bronx County, New York",39.9,2739,1092
2007000,"Census Tract 70, Bronx County, New York",33.8,1296,438
2007100,"Census Tract 71, Bronx County, New York",36.8,996,367
2007200,"Census Tract 72, Bronx County, New York",31.4,1633,512
2007300,"Census Tract 73, Bronx County, New York",55.7,1428,795
2007400,"Census Tract 74, Bronx County, New York",25.1,1326,333
2007500,"Census Tract 75, Bronx County, New York",46.8,2296,1075
2007600,"Census Tract 76, Bronx County, New York",39.5,1670,659
2007700,"Census Tract 77, Bronx County, New York",29.3,605,177
2007800,"Census Tract 78, Bronx County, New York",38.8,2117,821
2007900,"Census Tract 79, Bronx County, New York",62.7,2377,1490
2008300,"Census Tract 83, Bronx County, New York",45.2,2058,930
2008400,"Census Tract 84, Bronx County, New York",21.4,743,159
