"GEO_ID","NAME","B28005_001E","B28005_001M","B28005_002E","B28005_002M","B28005_003E","B28005_003M","B28005_004E","B28005_004M","B28005_005E","B28005_005M","B28005_006E","B28005_006M","B28005_007E","B28005_007M","B28005_008E","B28005_008M","B28005_009E","B28005_009M","B28005_010E","B28005_010M","B28005_011E","B28005_011M","B28005_012E","B28005_012M","B28005_013E","B28005_013M","B28005_014E","B28005_014M","B28005_015E","B28005_015M","B28005_016E","B28005_016M","B28005_017E","B28005_017M","B28005_018E","B28005_018M","B28005_019E","B28005_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Under 18 years","Margin of Error!!Total!!Under 18 years","Estimate!!Total!!Under 18 years!!Has a computer","Margin of Error!!Total!!Under 18 years!!Has a computer","Estimate!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!Under 18 years!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!Under 18 years!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!Under 18 years!!Has a computer!!Without an Internet subscription","Estimate!!Total!!Under 18 years!!No computer","Margin of Error!!Total!!Under 18 years!!No computer","Estimate!!Total!!18 to 64 years","Margin of Error!!Total!!18 to 64 years","Estimate!!Total!!18 to 64 years!!Has a computer","Margin of Error!!Total!!18 to 64 years!!Has a computer","Estimate!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!18 to 64 years!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!18 to 64 years!!Has a computer!!Without an Internet subscription","Estimate!!Total!!18 to 64 years!!No computer","Margin of Error!!Total!!18 to 64 years!!No computer","Estimate!!Total!!65 years and over","Margin of Error!!Total!!65 years and over","Estimate!!Total!!65 years and over!!Has a computer","Margin of Error!!Total!!65 years and over!!Has a computer","Estimate!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone","Margin of Error!!Total!!65 years and over!!Has a computer!!With dial-up Internet subscription alone","Estimate!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription","Margin of Error!!Total!!65 years and over!!Has a computer!!With a broadband Internet subscription","Estimate!!Total!!65 years and over!!Has a computer!!Without an Internet subscription","Margin of Error!!Total!!65 years and over!!Has a computer!!Without an Internet subscription","Estimate!!Total!!65 years and over!!No computer","Margin of Error!!Total!!65 years and over!!No computer"
"1400000US36005021200","Census Tract 212, Bronx County, New York","4960","499","973","194","973","194","0","12","826","204","147","177","0","12","3484","366","3219","439","0","12","3008","448","211","147","265","180","503","141","402","141","0","12","320","133","82","92","101","92"
"1400000US36005039000","Census Tract 390, Bronx County, New York","2766","413","533","180","502","187","0","12","484","188","18","27","31","49","1952","300","1797","304","0","12","1584","300","213","160","155","118","281","100","165","74","0","12","157","73","8","12","116","82"
"1400000US36005012701","Census Tract 127.01, Bronx County, New York","1750","289","374","106","320","103","0","12","270","101","50","47","54","40","1129","242","967","265","11","17","811","272","145","94","162","76","247","63","176","67","0","12","83","53","93","48","71","48"
"1400000US36005033400","Census Tract 334, Bronx County, New York","67","32","4","6","4","6","0","12","4","6","0","12","0","12","49","34","49","34","0","12","49","34","0","12","0","12","14","13","14","13","0","12","14","13","0","12","0","12"
"1400000US36005006400","Census Tract 64, Bronx County, New York","3612","409","927","244","849","250","0","12","532","124","317","240","78","100","2087","292","1710","330","0","12","1294","292","416","246","377","154","598","172","330","172","0","12","304","161","26","35","268","157"
"1400000US36005044800","Census Tract 448, Bronx County, New York","1917","270","299","90","299","90","0","12","282","89","17","27","0","12","1289","222","1269","218","0","12","1219","207","50","46","20","31","329","77","308","75","0","12","274","68","34","34","21","26"
"1400000US36005039700","Census Tract 397, Bronx County, New York","1163","143","154","59","154","59","0","12","154","59","0","12","0","12","741","107","683","120","0","12","673","121","10","15","58","48","268","56","137","57","0","12","126","57","11","11","131","48"
"1400000US36005018302","Census Tract 183.02, Bronx County, New York","3814","397","991","244","953","254","0","12","838","251","115","91","38","59","2548","282","2429","289","10","15","2031","320","388","245","119","60","275","70","222","69","0","12","212","70","10","15","53","28"
"1400000US36005034400","Census Tract 344, Bronx County, New York","2122","334","404","155","393","161","0","12","393","161","0","12","11","10","1417","193","1374","193","0","12","1366","192","8","12","43","52","301","69","241","75","0","12","198","79","43","42","60","42"
"1400000US36005003900","Census Tract 39, Bronx County, New York","6692","730","1843","505","1671","506","0","17","1312","533","359","236","172","179","4326","569","3788","698","0","17","2902","700","886","385","538","302","523","181","247","145","0","17","206","132","41","49","276","122"
"1400000US36005033202","Census Tract 332.02, Bronx County, New York","3763","468","790","181","790","181","0","12","652","177","138","188","0","12","2250","312","2129","333","0","12","1929","346","200","122","121","65","723","162","386","195","0","12","351","194","35","36","337","133"
"1400000US36005015300","Census Tract 153, Bronx County, New York","4876","458","1496","321","1472","325","0","12","1184","343","288","143","24","29","2952","377","2789","398","0","12","2236","383","553","209","163","121","428","114","264","101","0","12","264","101","0","12","164","65"
"1400000US36005032600","Census Tract 326, Bronx County, New York","3656","474","593","217","582","218","0","12","582","218","0","12","11","20","2348","385","2181","409","0","12","2026","455","155","162","167","150","715","176","585","166","0","12","486","167","99","96","130","91"
"1400000US36005042200","Census Tract 422, Bronx County, New York","3292","505","807","273","807","273","67","106","704","269","36","59","0","12","1989","350","1955","360","99","155","1681","332","175","170","34","53","496","139","426","145","12","19","331","130","83","70","70","49"
"1400000US36005024400","Census Tract 244, Bronx County, New York","2277","224","523","165","509","166","0","12","503","167","6","9","14","22","1401","133","1346","141","0","12","1283","140","63","46","55","41","353","79","243","76","0","12","217","77","26","35","110","51"
"1400000US36005043100","Census Tract 431, Bronx County, New York","10178","767","2746","461","2652","458","17","28","1992","429","643","332","94","114","6414","676","5691","740","19","30","4727","795","945","450","723","376","1018","239","610","213","0","19","610","213","0","19","408","166"
"1400000US36005007700","Census Tract 77, Bronx County, New York","1966","205","567","95","561","90","0","12","468","113","93","109","6","12","1207","172","1138","177","0","12","980","167","158","103","69","67","192","50","98","42","0","12","92","42","6","8","94","49"
"1400000US36005006800","Census Tract 68, Bronx County, New York","3294","347","945","154","840","144","0","12","724","139","116","94","105","101","1957","314","1777","310","16","26","1421","318","340","204","180","119","392","111","345","113","27","42","294","102","24","29","47","39"
"1400000US36005021800","Census Tract 218, Bronx County, New York","6969","831","1835","567","1835","567","0","17","1457","524","378","288","0","17","4311","527","4217","549","0","17","3687","593","530","253","94","92","823","249","735","252","0","17","644","245","91","90","88","62"
"1400000US36005008900","Census Tract 89, Bronx County, New York","3196","253","951","133","650","166","0","12","650","166","0","12","301","208","1837","241","1539","271","0","12","1345","265","194","99","298","139","408","107","176","75","0","12","118","66","58","61","232","107"
"1400000US36005028600","Census Tract 286, Bronx County, New York","1116","163","239","61","239","61","0","12","239","61","0","12","0","12","738","137","723","142","0","12","716","144","7","11","15","23","139","49","73","36","0","12","67","35","6","9","66","60"
"1400000US36005001900","Census Tract 19, Bronx County, New York","2259","239","596","113","584","110","0","12","541","117","43","60","12","19","1601","138","1534","152","0","12","1416","148","118","58","67","49","62","36","60","35","0","12","50","33","10","15","2","6"
"1400000US36005036502","Census Tract 365.02, Bronx County, New York","2230","325","606","179","606","179","0","12","529","194","77","58","0","12","1438","217","1329","202","0","12","1159","214","170","99","109","67","186","54","144","55","0","12","117","52","27","26","42","24"
"1400000US36005002500","Census Tract 25, Bronx County, New York","5887","553","1650","316","1551","309","0","17","1299","343","252","186","99","88","3689","402","3139","403","9","14","2522","473","608","217","550","264","548","108","329","106","14","24","239","92","76","56","219","70"
"1400000US36005024600","Census Tract 246, Bronx County, New York","2082","278","368","110","368","110","0","12","363","109","5","9","0","12","1373","220","1293","239","0","12","1150","247","143","100","80","55","341","60","246","61","13","21","218","62","15","17","95","42"
"1400000US36005024000","Census Tract 240, Bronx County, New York","4234","553","1207","318","996","285","0","12","933","281","63","79","211","190","2741","372","2430","326","21","36","2214","362","195","121","311","245","286","90","201","84","0","12","201","84","0","12","85","54"
"1400000US36005022500","Census Tract 225, Bronx County, New York","7422","704","2012","393","2012","393","0","17","1789","424","223","165","0","17","4744","500","4346","529","0","17","3836","564","510","351","398","235","666","206","404","178","14","23","293","159","97","94","262","128"
