gispropnum,q1,q2,q3,q4,budsum
X039,25665,23842,26961,55286,131754
R065,42089,23171,40915,26805,132980
X092,34802,49119,46262,61934,192117
M010,85164,127534,93191,119949,425838
Q099,151834,122130,226068,107411,607443
Q001,23413,16923,28293,25033,93662
B073,95910,158487,207705,143893,605995
Q015,58147,87003,62723,44576,252449
Q021,14789,10587,11808,21474,58658
Q162,21876,29641,9414,40193,101124
R031,3874,7871,4857,8064,24666
Q371,972,1593,33,1009,3607
R119,4747,9357,2611,1409,18124
M071,30599,32771,54558,27353,145281
M104,44713,78901,93924,69641,287179
R046,52640,20564,26532,112641,212377
R005,50024,54385,47251,21529,173189
R120,81,151,0,530,762
B057,19885,19801,14350,10833,64869
M042,14148,8083,5643,7863,35737
X002,45077,33423,54620,29660,162780
B169,71369,40946,28303,156601,297219
Q024,11580,14152,11524,11455,48711
R106,2355,5484,2770,4304,14913
Q020,6356,6354,11319,7857,31886
R006,6776,13270,35279,8973,64298
X010,27593,12057,15717,39130,94497
X118,3902,2148,2190,4808,13048
R022,9604,19792,40659,12198,82253
B018,5487,4437,24781,6304,41009
R079,0,587,276,958,1821
M107,1040,6438,2563,2998,13039
Q005,4661,5247,8705,10936,29549
M028,4442,2729,1357,3064,11592
M037,22136,7796,14641,52214,96787
B166D,1085,1393,900,1535,4913
B384,109,0,0,23,132
B125,5015,3782,2001,1567,12365
Q300,5627,5884,5153,4543,21207
X126,2138,1863,785,3834,8620
M029,15100,18551,3725,9461,46837
Q008,11661,4963,1917,2659,21200
B082,3757,4738,14316,10877,33688
X003,1752,405,127,646,2930
Q012,3548,11839,5771,5696,26854
X033,4676,3123,4708,3348,15855
Q102,13814,7045,6557,5633,33049
Q300A,1555,1254,1211,2888,6908
Q004,11387,8359,11777,66712,98235
B028,6683,4244,3492,2556,16975
X088,3049,2230,207,953,6439
M144,11820,11920,6432,8468,38640
B126,10227,4626,12416,36981,64250
Q452,50,1549,525,297,2421
Q007,3035,1774,814,2575,8198
X008,10527,5830,9317,23999,49673
Q448,15091,16429,12495,12578,56593
B068,16507,6582,7429,3097,33615
X045,6164,11499,2177,6392,26232
X046,497,1874,334,551,3256
B058,9777,15608,85911,48592,159888
B529,2920,3717,5260,11650,23547
Q010A,1053,3556,953,3491,9053
B065,2781,2320,7718,1903,14722
M056,7049,12051,7023,5823,31946
R016,5178,9368,1611,20034,36191
B251,2587,4768,16688,9113,33156
B032,3281,3743,11134,34652,52810
B129,3010,13104,6113,972,23199
X142,13,140,131,406,690
Q476,546,1777,826,920,4069
M077,4615,5844,8310,4466,23235
X030,5138,7721,5563,4143,22565
B087,7943,3569,4451,27901,43864
B066,4585,24125,1048,7759,37517
Q458,12069,22257,11951,23927,70204
Q107,2932,2084,148,1266,6430
R017,4103,6741,3022,4032,17898
R140,0,0,0,169,169
R121,29,0,0,223,252
B054,4894,2860,3003,1109,11866
M283,0,0,0,0,0
Q009,4722,4001,4687,973,14383
R169,24,700,209,0,933
B080,9442,3958,1686,1671,16757
R145,1921,836,167,320,3244
M005,1909,4179,2685,4723,13496
M058,5524,4212,6776,16337,32849
Q104,3854,5547,27258,5942,42601
X104,7013,2857,2296,3760,15926
B166C,118,92,419,658,1287
Q467,40,344,341,528,1253
